"total_n","n_per_arm","true_ratio","reduction_percent","true_beta","sigma_central","sdlog","probability_success","MCSE","mean_posterior_probability","mean_true_SD","median_true_SD","mean_estimated_SD","q025_true_SD","q975_true_SD"
36,18,0.5,50,-0.301029995663981,0.285,0,0.90405,0.00208258970395035,0.989785860700639,0.285,0.285,0.283672047879641,0.285,0.285
36,18,0.5,50,-0.301029995663981,0.285,0.1,0.90195,0.0021028099949829,0.988922244758473,0.28634287097365,0.284827512102834,0.284701766152423,0.234616275747391,0.347350808624621
36,18,0.5,50,-0.301029995663981,0.285,0.15,0.89055,0.00220760840617171,0.987478198706849,0.288045785479363,0.284769288552706,0.286514806914706,0.213212266322479,0.385124619390273
36,18,0.5,50,-0.301029995663981,0.285,0.2,0.88315,0.0022715201683014,0.985993113418012,0.290807927710489,0.284716982345715,0.289088624600859,0.192337774156904,0.423470087247562
36,18,0.5,50,-0.301029995663981,0.285,0.25,0.86925,0.00238384602585821,0.983791958189251,0.293397473964038,0.284961506465675,0.291231984584342,0.175579723485441,0.46457989015989
38,19,0.5,50,-0.301029995663981,0.285,0,0.92035,0.00191449572342171,0.991270243879227,0.285,0.285,0.283496337341225,0.285,0.285
38,19,0.5,50,-0.301029995663981,0.285,0.1,0.9085,0.00203872202617228,0.989715538760151,0.286500466487702,0.28518323417523,0.284842490309764,0.234583624044034,0.346766095682308
38,19,0.5,50,-0.301029995663981,0.285,0.15,0.9064,0.00205959996115751,0.989385330037559,0.287811997717371,0.284790762545135,0.285976841325183,0.212623468856613,0.380862185969997
38,19,0.5,50,-0.301029995663981,0.285,0.2,0.8918,0.00219650586159018,0.987389225674801,0.291342415836473,0.285852405359883,0.289629143963745,0.192099459657038,0.421471888964047
38,19,0.5,50,-0.301029995663981,0.285,0.25,0.8813,0.00228703202863449,0.985671474251881,0.294316050877806,0.285008900319445,0.292309037578794,0.174912789110689,0.467760556410021
40,20,0.5,50,-0.301029995663981,0.285,0,0.9287,0.0018195646457326,0.992678281397238,0.285,0.285,0.282943317485894,0.285,0.285
40,20,0.5,50,-0.301029995663981,0.285,0.1,0.9203,0.00191504451645386,0.991336552616084,0.286221927254924,0.284843754301934,0.284875711735921,0.234820553837762,0.345550459810698
40,20,0.5,50,-0.301029995663981,0.285,0.15,0.912,0.00200319744408783,0.989957906334829,0.287874012910585,0.284615241086304,0.286555964344654,0.211820807468755,0.380517365656994
40,20,0.5,50,-0.301029995663981,0.285,0.2,0.904,0.00208307465060665,0.988454943084053,0.290432153020219,0.284709901827069,0.289172702358372,0.191889533369053,0.420043848131547
40,20,0.5,50,-0.301029995663981,0.285,0.25,0.8908,0.0022053952026791,0.986084137512352,0.294243784926902,0.284716541347236,0.292477636555482,0.172930887987509,0.468009430067296
42,21,0.5,50,-0.301029995663981,0.285,0,0.9378,0.00170779331302122,0.993549075894283,0.285,0.285,0.283670222180509,0.285,0.285
42,21,0.5,50,-0.301029995663981,0.285,0.1,0.9319,0.00178132520893856,0.992713588408099,0.286450387914786,0.285277438868344,0.285201393450909,0.235124412222123,0.346092656797032
42,21,0.5,50,-0.301029995663981,0.285,0.15,0.9267,0.00184292037266942,0.991838337935335,0.2878456629359,0.284334218564617,0.286475858361519,0.212214987605474,0.381922860413482
42,21,0.5,50,-0.301029995663981,0.285,0.2,0.91545,0.00196724804612941,0.99045713521304,0.291007255435095,0.284994112124233,0.289190509133916,0.193867843535912,0.42275910164436
42,21,0.5,50,-0.301029995663981,0.285,0.25,0.9049,0.0020743190448916,0.98846783716858,0.294127553403787,0.285090557822365,0.292612850228016,0.174576230738074,0.46679955558254
44,22,0.5,50,-0.301029995663981,0.285,0,0.9469,0.00158556598727395,0.994154900108413,0.285,0.285,0.283688779101095,0.285,0.285
44,22,0.5,50,-0.301029995663981,0.285,0.1,0.93965,0.00168386278389897,0.993422920267848,0.286533713223,0.285155341993474,0.285038757543868,0.234246748034328,0.346765508038173
44,22,0.5,50,-0.301029995663981,0.285,0.15,0.93285,0.00176975814025533,0.992756782847149,0.288233048622486,0.284843980441924,0.286809739060509,0.213933095497039,0.380875312723572
